Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
NSE,26000,1,NIFTY,Nifty 50,INDEX,,0,
NSE,17635,1,ZYDUSWELL,ZYDUSWELL-EQ,EQ,,0,
NSE,7929,1,ZYDUSLIFE,ZYDUSLIFE-EQ,EQ,,0,
NSE,3827,1,ZUARIIND,ZUARIIND-EQ,EQ,,0,
NSE,29050,1,ZUARI,ZUARI-EQ,EQ,,0,
NSE,11394,1,ZOTA,ZOTA-EQ,EQ,,0,
NSE,5097,1,ZOMATO,ZOMATO-EQ,EQ,,0,
NSE,7873,1,ZODIACLOTH,ZODIACLOTH-BE,BE,,0,
NSE,7138,1,ZODIAC,ZODIAC-BE,BE,,0,
NSE,12384,1,ZIMLAB,ZIMLAB-EQ,EQ,,0,
NSE,16915,1,ZFCVINDIA,ZFCVINDIA-EQ,EQ,,0,
NSE,7508,1,ZENTEC,ZENTEC-EQ,EQ,,0,
NSE,1076,1,ZENSARTECH,ZENSARTECH-EQ,EQ,,0,
NSE,14566,1,ZENITHSTL,ZENITHSTL-BE,BE,,0,
NSE,8802,1,ZENITHEXPO,ZENITHEXPO-BE,BE,,0,
NSE,14003,1,ZEEMEDIA,ZEEMEDIA-EQ,EQ,,0,
NSE,20852,1,ZEELEARN,ZEELEARN-EQ,EQ,,0,
NSE,3812,1,ZEEL,ZEEL-EQ,EQ,,0,
NSE,18608,1,ZAGGLE,ZAGGLE-EQ,EQ,,0,
NSE,5501,1,YUKEN,YUKEN-EQ,EQ,,0,
NSE,11915,1,YESBANK,YESBANK-EQ,EQ,,0,
NSE,18760,1,YATRA,YATRA-EQ,EQ,,0,
NSE,17738,1,YATHARTH,YATHARTH-EQ,EQ,,0,
NSE,18131,1,YASHO,YASHO-EQ,EQ,,0,
NSE,25003,1,YAARI,YAARI-BE,BE,,0,
NSE,25235,1,XTGLOBAL,XTGLOBAL-EQ,EQ,,0,
NSE,11407,1,XPROINDIA,XPROINDIA-EQ,EQ,,0,
NSE,8477,1,XELPMOC,XELPMOC-EQ,EQ,,0,
NSE,11705,1,XCHANGING,XCHANGING-EQ,EQ,,0,
NSE,3799,1,WSTCSTPAPR,WSTCSTPAPR-EQ,EQ,,0,
NSE,14828,1,WSI,WSI-EQ,EQ,,0,
NSE,22277,1,WORTH,WORTH-EQ,EQ,,0,
NSE,3002,1,WONDERLA,WONDERLA-EQ,EQ,,0,
NSE,7497,1,WOCKPHARMA,WOCKPHARMA-BE,BE,,0,
NSE,3787,1,WIPRO,WIPRO-EQ,EQ,,0,
NSE,20491,1,WIPL,WIPL-BE,BE,,0,
NSE,25045,1,WINSOME,WINSOME-BE,BE,,0,
NSE,24969,1,WINDMACHIN,WINDMACHIN-EQ,EQ,,0,
NSE,5366,1,WINDLAS,WINDLAS-EQ,EQ,,0,
