Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
CDS,8580,1,EURINR,EURINR17OCT25C95.25,OPTCUR,17-OCT-2025,95.25,CE
CDS,8581,1,EURINR,EURINR17OCT25P95.25,OPTCUR,17-OCT-2025,95.25,PE
CDS,8594,1,EURINR,EURINR28NOV25P104.5,OPTCUR,28-NOV-2025,104.50,PE
CDS,8595,1,EURINR,EURINR28NOV25C104.75,OPTCUR,28-NOV-2025,104.75,CE
CDS,3808,1,EURINR,EURINR29OCT25C104.5,OPTCUR,29-OCT-2025,104.50,CE
CDS,8653,1,EURINR,EURINR28NOV25C106.25,OPTCUR,28-NOV-2025,106.25,CE
CDS,3729,1,EURINR,EURINR10OCT25C108,OPTCUR,10-OCT-2025,108.00,CE
CDS,8791,1,EURINR,EURINR28NOV25P106.75,OPTCUR,28-NOV-2025,106.75,PE
CDS,8792,1,EURINR,EURINR28NOV25C107,OPTCUR,28-NOV-2025,107.00,CE
CDS,8793,1,EURINR,EURINR28NOV25P107,OPTCUR,28-NOV-2025,107.00,PE
CDS,8794,1,EURINR,EURINR28NOV25C107.25,OPTCUR,28-NOV-2025,107.25,CE
CDS,3724,1,EURINR,EURINR29OCT25P104.25,OPTCUR,29-OCT-2025,104.25,PE
CDS,3723,1,EURINR,EURINR29OCT25C104.25,OPTCUR,29-OCT-2025,104.25,CE
CDS,3722,1,EURINR,EURINR17OCT25C98,OPTCUR,17-OCT-2025,98.00,CE
CDS,3721,1,EURINR,EURINR17OCT25P97.75,OPTCUR,17-OCT-2025,97.75,PE
CDS,3730,1,EURINR,EURINR17OCT25P98,OPTCUR,17-OCT-2025,98.00,PE
CDS,3731,1,EURINR,EURINR17OCT25C98.25,OPTCUR,17-OCT-2025,98.25,CE
CDS,8668,1,EURINR,EURINR28NOV25P106.25,OPTCUR,28-NOV-2025,106.25,PE
CDS,8688,1,EURINR,EURINR28NOV25C106.5,OPTCUR,28-NOV-2025,106.50,CE
CDS,3766,1,EURINR,EURINR21NOV25P105,OPTCUR,21-NOV-2025,105.00,PE
CDS,3765,1,EURINR,EURINR21NOV25C105,OPTCUR,21-NOV-2025,105.00,CE
CDS,8689,1,EURINR,EURINR28NOV25P106.5,OPTCUR,28-NOV-2025,106.50,PE
CDS,8690,1,EURINR,EURINR28NOV25C106.75,OPTCUR,28-NOV-2025,106.75,CE
CDS,3737,1,EURINR,EURINR10OCT25P108,OPTCUR,10-OCT-2025,108.00,PE
CDS,3736,1,EURINR,EURINR21NOV25P104.75,OPTCUR,21-NOV-2025,104.75,PE
CDS,3732,1,EURINR,EURINR17OCT25P98.25,OPTCUR,17-OCT-2025,98.25,PE
CDS,3720,1,EURINR,EURINR19SEP25P93.75,OPTCUR,19-SEP-2025,93.75,PE
CDS,3618,1,EURINR,EURINR17OCT25P97,OPTCUR,17-OCT-2025,97.00,PE
CDS,3509,1,EURINR,EURINR27MAR26P96.5,OPTCUR,27-MAR-2026,96.50,PE
CDS,3462,1,EURINR,EURINR27MAR26P95.75,OPTCUR,27-MAR-2026,95.75,PE
CDS,3460,1,EURINR,EURINR03OCT25C105,OPTCUR,03-OCT-2025,105.00,CE
CDS,3459,1,EURINR,EURINR21NOV25P104,OPTCUR,21-NOV-2025,104.00,PE
CDS,3454,1,EURINR,EURINR27MAR26C95.75,OPTCUR,27-MAR-2026,95.75,CE
CDS,3453,1,EURINR,EURINR21NOV25C104,OPTCUR,21-NOV-2025,104.00,CE
CDS,3452,1,EURINR,EURINR17OCT25P96,OPTCUR,17-OCT-2025,96.00,PE
CDS,9113,1,EURINR,EURINR24OCT25C103.75,OPTCUR,24-OCT-2025,103.75,CE
CDS,3449,1,EURINR,EURINR27MAR26P95.5,OPTCUR,27-MAR-2026,95.50,PE
CDS,9161,1,EURINR,EURINR24OCT25P103.75,OPTCUR,24-OCT-2025,103.75,PE
CDS,3464,1,EURINR,EURINR27MAR26C96,OPTCUR,27-MAR-2026,96.00,CE
CDS,9112,1,EURINR,EURINR24OCT25P103.5,OPTCUR,24-OCT-2025,103.50,PE
CDS,3508,1,EURINR,EURINR27MAR26C96.5,OPTCUR,27-MAR-2026,96.50,CE
CDS,3507,1,EURINR,EURINR27MAR26P96.25,OPTCUR,27-MAR-2026,96.25,PE
CDS,9104,1,EURINR,EURINR24OCT25P103.25,OPTCUR,24-OCT-2025,103.25,PE
CDS,9107,1,EURINR,EURINR24OCT25C103.5,OPTCUR,24-OCT-2025,103.50,CE
CDS,3485,1,EURINR,EURINR27MAR26C96.25,OPTCUR,27-MAR-2026,96.25,CE
CDS,3484,1,EURINR,EURINR27MAR26P96,OPTCUR,27-MAR-2026,96.00,PE
CDS,3480,1,EURINR,EURINR03OCT25P105.25,OPTCUR,03-OCT-2025,105.25,PE
CDS,3478,1,EURINR,EURINR03OCT25C105.25,OPTCUR,03-OCT-2025,105.25,CE
CDS,3468,1,EURINR,EURINR03OCT25P105,OPTCUR,03-OCT-2025,105.00,PE
CDS,9162,1,EURINR,EURINR24OCT25C104,OPTCUR,24-OCT-2025,104.00,CE
CDS,3445,1,EURINR,EURINR17OCT25C96,OPTCUR,17-OCT-2025,96.00,CE
CDS,3416,1,EURINR,EURINR03OCT25P104.25,OPTCUR,03-OCT-2025,104.25,PE
CDS,3415,1,EURINR,EURINR03OCT25C104.25,OPTCUR,03-OCT-2025,104.25,CE
CDS,3407,1,EURINR,EURINR03OCT25P104,OPTCUR,03-OCT-2025,104.00,PE
